airport_ref,airport_ident,type_of_airport,airport_name,latitude,longitude,elevation_ft,state,municipality,scheduled_service,unique_id,id,length_ft,width_ft,surface,lighted,closed,le_ident,le_displaced_threshold_ft,he_ident,he_displaced_threshold_ft
6601,01LA,small_airport,Barham Airport,32.639,-91.7737,90.0,LA,Oak Ridge,no,95,253175,2000.0,60.0,TURF,0,0,09,,27,
6602,01LL,small_airport,Schumaier Restricted Landing Area,38.1258,-89.4639,555.0,IL,Pinckneyville,no,96,253330,1600.0,70.0,TURF,0,0,02,,20,
6603,01LS,small_airport,Country Breeze Airport,30.722479,-91.07737,125.0,LA,Slaughter,no,97,240115,1800.0,150.0,TURF,0,0,09,,27,
6604,01MA,heliport,Compaq Andover Heliport,42.6251,-71.1801,140.0,MA,Andover,no,98,265055,32.0,32.0,TURF,0,0,H1,,,
6605,01MD,seaplane_base,Annapolis Seaplane Base,38.9992,-76.456,,MD,Annapolis,no,99,257883,3500.0,100.0,WATER,0,0,16,,34,
6606,01ME,seaplane_base,Saint Peter's Seaplane Base,46.7789,-68.5003,608.0,ME,Portage Lake,no,100,256660,5000.0,500.0,WATER,0,0,02,,20,
6606,01ME,seaplane_base,Saint Peter's Seaplane Base,46.7789,-68.5003,608.0,ME,Portage Lake,no,100,256661,5000.0,500.0,WATER,0,0,15,,33,
6607,01MI,heliport,Flow Through Terminal Heliport,43.0495,-83.6797,736.0,MI,Flint,no,101,265056,50.0,50.0,CONC,0,0,H1,,,
6608,01MN,seaplane_base,Barnes Seaplane Base,47.8996,-92.5574,1358.0,MN,Cook,no,102,249395,10000.0,600.0,WATER,0,0,E,,W,
6608,01MN,seaplane_base,Barnes Seaplane Base,47.8996,-92.5574,1358.0,MN,Cook,no,102,249396,10000.0,600.0,WATER,0,0,NW,,SE,
6609,01MO,heliport,Highway Patrol Troop C Headquarters Heliport,38.6417,-90.4843,615.0,MO,Town and Country,no,103,269415,37.0,37.0,CONC,0,0,H1,,,
6610,01MT,small_airport,Crystal Lakes Resort Airport,48.7891,-114.88,3141.0,MT,Fortine,no,104,243448,5000.0,70.0,ASPH-G,0,0,13,,31,150.0
356169,01MU,heliport,NWMC - Houghton Heliport,32.196747,-110.77514,2873.0,AZ,Tucson,no,105,356170,54.0,54.0,CON,0,0,H1,,,
6611,01NC,small_airport,Topsail Airpark,34.4753,-77.5814,65.0,NC,Holly Ridge,no,106,246908,3200.0,75.0,TURF,1,0,03,,21,
6611,01NC,small_airport,Topsail Airpark,34.4753,-77.5814,65.0,NC,Holly Ridge,no,106,246909,2000.0,75.0,ASPH-TURF,0,0,18,,36,
6612,01NE,closed,Detour Airport,40.84362,-100.651505,3000.0,NE,Wellfleet,no,107,252153,2750.0,50.0,TURF,0,0,10,,28,
6613,01NH,small_airport,Moore Airfield,43.6445,-72.087,835.0,NH,Canaan,no,108,249329,600.0,50.0,TURF,0,0,17,,35,
6614,01NJ,heliport,Albert Guido Memorial Heliport,40.739956,-74.13613,10.0,NJ,Newark,no,109,269416,125.0,80.0,ASPH,0,0,H1,,,
45537,01NM,small_airport,Champion Ranch Airport,33.00861,-104.540276,3630.0,NM,Lake Arthur,no,110,264064,2700.0,70.0,DIRT,0,0,02,,20,
45537,01NM,small_airport,Champion Ranch Airport,33.00861,-104.540276,3630.0,NM,Lake Arthur,no,110,269417,2000.0,70.0,DIRT,0,0,9,,27,
506122,01NR,heliport,McGee 01 Heliport,34.196262,-77.919914,40.0,NC,Wilmington,no,111,506123,50.0,50.0,Turf,0,0,H1,,,
6615,01NV,small_airport,Lantana Ranch Airport,38.7639,-119.027,4600.0,NV,Yerington,no,112,250998,2000.0,60.0,GRVL,0,0,18,,36,
6616,01NY,heliport,Vassar Hospital Heliport,41.692413,-73.93683,100.0,NY,Poughkeepsie,no,113,269418,100.0,75.0,ASPH,0,0,H1,,,
347920,01OH,heliport,Atrium Medical Center Heliport,39.497456,-84.31385,775.0,OH,Middletown,no,114,347921,100.0,100.0,CON,1,0,H1,,,
6617,01OI,heliport,Avita Health System Galion Hospital Heliport,40.730267,-82.802025,1140.0,OH,Galion,no,115,269419,30.0,30.0,CONC-G,0,0,H1,,,
6618,01OK,closed,Lawrence Airport,35.2945,-98.6365,1525.0,OK,Eakly,no,116,253176,2640.0,25.0,ASPH,1,0,17,,35,
345166,01OL,small_airport,Spring Creek Ranch East Airport,34.391666,-96.690834,1060.0,OK,Tishomingo,no,117,345167,1600.0,75.0,Turf,0,0,5,,23,
6619,01OR,closed,Red & White Flying Service Airport,43.1193,-121.045,4346.0,OR,Silver Lake,no,118,249546,4800.0,60.0,GRVL-DIRT,0,0,07,,25,
6620,01PA,closed,Pine Heliport,40.6556,-80.0509,1215.0,PA,Mars,no,119,269420,60.0,60.0,TURF,0,0,H1,,,
6621,01PN,small_airport,Bierly(Personal Use) Airport,40.9306,-77.7389,960.0,PA,Bellefonte,no,120,254074,1700.0,100.0,TURF,0,0,06,,24,
6622,01PS,small_airport,Nort's Resort Airport,41.5959,-76.0296,1040.0,PA,Meshoppen,no,121,255854,1200.0,120.0,TURF-G,0,0,03,,21,
6623,01SC,small_airport,York Airport,35.0321,-81.2528,779.0,SC,York,no,122,255011,2580.0,118.0,TURF-F,1,0,18,,36,
6624,01TA,heliport,Thirty Thirty Matlock Office Center Heliport,32.6942,-97.1158,630.0,TX,Arlington,no,123,269421,30.0,30.0,CONC,0,0,H1,,,
6625,01TE,small_airport,Smith Field,32.7376,-96.428,505.0,TX,Forney,no,124,253218,2433.0,55.0,TURF-F,0,0,04,,22,
6626,01TN,small_airport,Colonial Air Park,34.9959,-89.7306,370.0,TN,Collierville,no,125,255290,2700.0,100.0,TURF,0,0,18,,36,
6628,01TX,closed,Mims Farm Ultralightport,32.388115,-96.877396,610.0,TX,Waxahachie,no,128,254937,500.0,60.0,TURF,0,0,09,,27,
6628,01TX,closed,Mims Farm Ultralightport,32.388115,-96.877396,610.0,TX,Waxahachie,no,128,254938,700.0,60.0,TURF,0,0,18,,36,
6629,01U,small_airport,Duckwater Airport,38.849785,-115.63499,5124.0,NV,Duckwater,no,129,248178,2700.0,75.0,DIRT-P,0,0,03,,21,
6629,01U,small_airport,Duckwater Airport,38.849785,-115.63499,5124.0,NV,Duckwater,no,129,248179,3400.0,80.0,DIRT-P,0,0,15,,33,
6630,01UT,small_airport,La Sal Junction Airport,38.3083,-109.396,6000.0,UT,La Sal,no,130,250607,3200.0,40.0,DIRT-P,0,0,E,,W,
6631,01VA,small_airport,Pickles Airport,39.125,-77.925,500.0,VA,Berryville,no,131,248071,1500.0,60.0,TURF,0,0,03,,21,
6632,01WA,heliport,Willapa Harbor Heliport,46.6632,-123.812,154.0,WA,South Bend,no,132,269422,36.0,36.0,CONC,0,0,H1,,,
6633,01WI,small_airport,Prehn Cranberry Company Airport,44.01,-90.3892,930.0,WI,Tomah,no,133,239731,2300.0,120.0,TURF,0,0,01,,19,
6634,01WN,heliport,Whidbey General Hospital Heliport,48.2134,-122.685,103.0,WA,Coupeville,no,134,269423,40.0,40.0,ASPH,1,0,H1,,,
45900,01WT,heliport,Odyssey Heliport,47.518177,-122.21091,20.0,WA,Renton,no,135,264636,28.0,28.0,CONC-G,0,0,H1,,,
6635,01WY,small_airport,Keyhole Airport,44.348312,-104.8106,4250.0,WY,Pine Haven,no,136,256957,4360.0,75.0,DIRT-TURF-G,0,0,12,,30,
6635,01WY,small_airport,Keyhole Airport,44.348312,-104.8106,4250.0,WY,Pine Haven,no,136,256958,2600.0,65.0,DIRT-TURF-G,0,0,16,,34,
46288,01XA,heliport,Ascension Seton Hays Heliport,30.007221,-97.85333,715.0,TX,Kyle,no,137,270898,50.0,50.0,CONC,1,0,H1,,H1,
6636,01XS,heliport,Meadowood Ranch Heliport,32.0202,-95.7455,500.0,TX,Athens,no,138,269424,50.0,50.0,CONC,0,0,H1,,,
6637,02AK,small_airport,Rustic Wilderness Airport,61.876907,-150.09763,190.0,AK,Willow,no,140,253115,2200.0,45.0,GRVL,0,0,15,,33,
6638,02AL,small_airport,Bass Field,30.3715,-87.7644,61.0,AL,Foley,no,141,254694,2000.0,150.0,TURF,0,0,18,,36,
529870,02AN,small_airport,Emerald Ridge Airport,59.704224,-151.29587,222.0,AK,Homer,no,142,529871,1800.0,100.0,Turf,0,0,2,,20,
43030,02AR,closed,Three Rivers Airport,34.822445,-92.44442,264.0,AR,Little Rock,no,143,247597,4400.0,45.0,ASPH-G,0,0,07,600.0,25,600.0
6640,02AZ,closed,Winchester Farm Airstrip,32.3764,-109.937,4200.0,AZ,Willcox,no,144,250723,4500.0,80.0,TURF,0,0,17,,35,
6641,02CA,heliport,Swepi Beta Platform Ellen Heliport,33.5825,-118.129,122.0,CA,Huntington Beach,no,145,265057,55.0,55.0,PSP,0,0,H1,,,
6642,02CD,small_airport,Shannon Field,34.1296,-90.524,165.0,MS,Clarksdale,no,146,252831,2500.0,100.0,CONC-TURF,0,0,15,,33,
6643,02CL,small_airport,Conover Air Lodge Airport,34.7611,-119.059,5160.0,CA,Frazier Park,no,147,249787,3000.0,60.0,DIRT,0,0,16,,34,
6644,02CO,small_airport,Mc Cullough Airport,37.6433,-106.047,7615.0,CO,Monte Vista,no,148,255048,2670.0,50.0,GRAVEL,0,0,17,,35,
6645,02CT,heliport,Strangers Point Heliport,41.9196,-72.4445,540.0,CT,Ellington,no,149,265058,50.0,50.0,ASPH,0,0,H1,,,
6646,02FA,small_airport,Osborn Airfield,28.5267,-81.8748,121.0,FL,Groveland,no,150,246559,2485.0,150.0,TURF,0,0,18,,36,
341544,02FD,small_airport,Triple R Ranch Airport,30.950975,-86.63555,209.0,FL,Baker,no,151,341547,3443.0,150.0,Turf,0,0,1,,19,
45347,02FL,closed,Cuchens Airport,30.642527,-86.11878,215.0,FL,Defuniak Springs,no,152,264162,1800.0,100.0,TURF-F,0,0,12,,30,
6648,02GA,small_airport,Doug Bolton Field,34.2026,-83.429,884.0,GA,Commerce,no,153,255300,1200.0,100.0,TURF,0,0,08,,26,
6648,02GA,small_airport,Doug Bolton Field,34.2026,-83.429,884.0,GA,Commerce,no,153,255301,1500.0,100.0,TURF,0,0,13,,31,
6649,02GE,small_airport,Etowah Fields Airport,34.1753,-84.9244,710.0,GA,Euharlee,no,154,256885,3400.0,100.0,TURF,0,0,09,,27,
6650,02HI,heliport,K3 Helipad Heliport,21.35839,-157.94789,9.0,HI,Honolulu,no,155,265059,100.0,100.0,CONC,0,0,H1,,,
6651,02IA,heliport,Boone County Hospital Heliport,42.0561,-93.878,1160.0,IA,Boone,no,156,265060,50.0,50.0,CONC,0,0,H1,,,
6652,02ID,small_airport,Morgan Ranch Airport,44.5555,-115.305,5634.0,ID,Cascade,no,157,252347,2000.0,100.0,TURF,0,0,NE,,SW,
6653,02II,small_airport,King Ultralightport,40.0623,-86.2105,925.0,IN,Westfield,no,158,250386,1100.0,100.0,TURF,0,0,10,200.0,28,
6654,02IN,small_airport,Diamond P. Field,40.2089,-85.5408,904.0,IN,Muncie,no,159,252716,1020.0,150.0,TURF,0,0,09,,27,
6655,02IS,heliport,Condell Medical Center Heliport,42.2746,-87.9573,762.0,IL,Libertyville,no,160,265061,40.0,40.0,MATS,0,0,H1,,,
6656,02KS,small_airport,Jmj Landing Airport,39.2222,-96.0553,1170.0,KS,St Marys,no,161,248000,1650.0,100.0,TURF,0,0,11,,29,
6656,02KS,small_airport,Jmj Landing Airport,39.2222,-96.0553,1170.0,KS,St Marys,no,161,248001,1950.0,150.0,TURF,0,0,18,,36,
6657,02KY,heliport,Boone National Guard Heliport,38.19028,-84.90644,760.0,KY,Frankfort,no,163,265062,100.0,100.0,CONC,0,0,H1,,,
6658,02LA,heliport,Louisiana State Police Troop G Heliport,32.53149,-93.65994,168.0,LA,Bossier City,no,164,265063,20.0,20.0,CONC,0,0,H1,,,
6659,02LS,heliport,Windy Hill Heliport,30.1483,-91.919,25.0,LA,Broussard,no,165,265064,24.0,24.0,CONC,0,0,H1,,,
6660,02MA,heliport,Cuttyhunk Heliport,41.4196,-70.927,9.0,MA,Cuttyhunk,no,166,265065,50.0,50.0,ASPH,0,0,H1,,,
322099,02MD,small_airport,Garner Field,38.672543,-76.70974,141.0,MD,Brandywine,no,167,506080,2000.0,75.0,Turf,0,0,9,,27,
6661,02ME,small_airport,Nadeau's Airfield,43.537468,-70.93069,700.0,ME,Acton,no,168,250960,2400.0,60.0,TURF,0,0,14,,32,
6662,02MI,small_airport,Fairplains Airpark,43.1571,-85.1485,850.0,MI,Greenville,no,169,254744,2000.0,100.0,TURF,0,0,09,,27,
6663,02MN,closed,Greenbush Municipal Airport,48.686527,-96.19198,1070.0,MN,Greenbush,no,170,254275,1897.0,192.0,TURF-P,0,0,03,,21,
6663,02MN,closed,Greenbush Municipal Airport,48.686527,-96.19198,1070.0,MN,Greenbush,no,170,254276,2500.0,192.0,TURF-F,0,0,12,,30,
6663,02MN,closed,Greenbush Municipal Airport,48.686527,-96.19198,1070.0,MN,Greenbush,no,170,254277,2553.0,82.0,TURF-P,0,0,13,,31,
6664,02MO,small_airport,Troy Airpark,39.05,-91.0335,650.0,MO,Troy,no,171,254497,2200.0,50.0,TURF-G,0,0,08,,26,
6665,02MS,small_airport,Watts Field,34.0957,-90.84613,153.0,MS,Rochdale,no,172,254981,2150.0,60.0,TURF-F,0,0,12,,30,
6667,02MU,closed,Timber Line Airpark,36.655613,-93.80238,1550.0,MO,Cassville,no,174,247902,1900.0,125.0,TURF,0,0,N,,S,
45686,02NC,closed,Race City Heliport,35.540478,-80.598045,809.0,NC,Landis,no,175,264707,100.0,100.0,TURF,0,0,H1,,,
6669,02NH,seaplane_base,Iroquois Landing Seaplane Base,44.6571,-71.2191,1180.0,NH,Dummer,no,177,247920,3000.0,300.0,WATER,0,0,18W,,36W,
6669,02NH,seaplane_base,Iroquois Landing Seaplane Base,44.6571,-71.2191,1180.0,NH,Dummer,no,177,269425,20.0,20.0,TURF,0,0,H1,,,
526225,02NM,small_airport,FFR Animas Landing Strip,32.09071,-108.870735,4240.0,NM,Animas,no,179,526226,4247.0,30.0,Dirt,0,0,8,,26,
506036,02NR,heliport,McGee 02 Heliport,35.592197,-77.37737,25.0,NC,Greenville,no,180,506037,50.0,50.0,Turf,0,0,H1,,,
6671,02NV,small_airport,Paiute Meadows Airport,41.29955,-118.92671,4443.0,NV,Winnemucca,no,181,254643,2200.0,50.0,TURF,0,0,09,,27,
6672,02NY,heliport,Hansen Heliport,43.1326,-75.6555,435.0,NY,Durhamville,no,182,269426,25.0,25.0,TURF,0,0,H1,,,
6673,02OH,small_airport,Zimmerman Airport,41.3764,-83.0833,614.0,OH,Fremont,no,183,256138,2750.0,50.0,TURF,0,0,09,,27,
